rank,_input,prodLink,name,asin,salesprice
1,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A037956612KC1KQQIWMGR&url=%2FOcean-Loong-AB18G-Circulator-Conditioner%2Fdp%2FB08CBVTFGW%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-1-spons%26psc%3D1&qualifier=1614762611&id=1203245652556898&widgetName=sp_atf,"AB18G Bladeless Tower Fan, 9 Speeds & 32 inchs Leafless Fan with Remote Control,Air Circulator Fan for Home Air Conditioner, Grey/Silver…",B08CBVTFGW,$135.00
2,Dyson Fans,https://www.amazon.com/Dyson-Multiplier-Table-Inches-Silver/dp/B00I8R4DLO/ref=sr_1_2?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-2,"Dyson Air Multiplier AM06 Table Fan, 10 Inches, White/Silver",B00I8R4DLO,$272.00
3,Dyson Fans,https://www.amazon.com/Dyson-Multiplier-AM06-Table-Inches/dp/B00KX1OD1S/ref=sr_1_3?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-3,"Dyson Air Multiplier AM06 Table Fan, 10 Inches - Black/Iron",B00KX1OD1S,$280.00
4,Dyson Fans,https://www.amazon.com/Dyson-Multiplier-Tower-White-Silver/dp/B00I8R4VZC/ref=sr_1_4?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-4,"Dyson Cool AM07 Air Multiplier Tower Fan, White/Silver",B00I8R4VZC,$449.99
5,Dyson Fans,https://www.amazon.com/Dyson-Focus-Heater-Black-Nickel/dp/B00SMLKEUK/ref=sr_1_5?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-5,"Dyson Hot + Cool Jet Focus AM09 Fan Heater, Black/Nickel",B00SMLKEUK,$449.99
6,Dyson Fans,https://www.amazon.com/Ocean-Loong-AB18G-Circulator-Conditioner/dp/B08CBVTFGW/ref=sr_1_6?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-6,"AB18G Bladeless Tower Fan, 9 Speeds & 32 inchs Leafless Fan with Remote Control,Air Circulator Fan for Home Air Conditioner, Grey/Silver…",B08CBVTFGW,$135.00
7,Dyson Fans,https://www.amazon.com/Ocean-Loong-Bladeless-Remote-Control/dp/B07YX17CHC/ref=sr_1_7?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-7,"AB01 Bladeless Tower Fan, 26 Inches 9 Speeds & 9H Timer Table Fan, White Air Circulator Fan for Bedroom Office",B07YX17CHC,$119.00
8,Dyson Fans,https://www.amazon.com/Dyson-AM07-Mini-Multiplier-Silver/dp/B00LX4IRZM/ref=sr_1_8?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-8,Dyson Cool AM07 Mini Air Multiplier Tower Fan White/Silver,B00LX4IRZM,$449.99
9,Dyson Fans,https://www.amazon.com/Honeywell-HYF290B-Quietset-Whole-Room-Oscillating/dp/B01N0LQJN6/ref=sr_1_9?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-9,"Honeywell QuietSet Whole Room Tower Fan-Black, HYF290B",B01N0LQJN6,$62.99
10,Dyson Fans,https://www.amazon.com/ULTTY-Purifier-Standing-Control-Oscillating/dp/B087LSVJPZ/ref=sr_1_10?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-10,ULTTY Bladeless Fan and Air Purifier in one | True HEPA Filter 99.97% Smoke Dust Pollen Dander | Oscillating Tower Fan with Remote Control R21 White,B087LSVJPZ,$142.99
11,Dyson Fans,https://www.amazon.com/Lasko-2264QM-Velocity-QuickMount-Black/dp/B004IS6JBY/ref=sr_1_11?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-11,"Lasko 20"" High Velocity Quick Mount, Easily Converts from a Floor Wall Fan, 7 x 22 x 22 inches, Black 2264QM",B004IS6JBY,$63.99
12,Dyson Fans,https://www.amazon.com/Lasko-T42951-Portable-Oscillating-13x13x42-5/dp/B000RL3UJA/ref=sr_1_12?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-12,"Lasko Portable Electric 42"" Oscillating Tower Fan with Nighttime Setting, Timer and Remote Control for Indoor, Bedroom and Home Office Use, Silver T42951",B000RL3UJA,
13,Dyson Fans,https://www.amazon.com/Bladeless-Heater-Control-Circulator-Conditioner/dp/B08CX44BKH/ref=sr_1_13?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-13,"AB09 Bladeless Heater Fan & 9 Speeds 32 Inchs Tower Fan with Remote Control, 1900W Space Heater and Air Circulator Fan for Home Air Conditioner, White/Blue",B08CX44BKH,$179.00
14,Dyson Fans,https://www.amazon.com/HONEYWELL-Dreamweaver-Sleep-Fan-Black/dp/B07M5N3KFQ/ref=sr_1_14?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-14,Honeywell Dreamweaver Sleep Black – Personal Fan with Pink Noise – USB Charging Port and On/Off Airflow for Use in Any Season,B07M5N3KFQ,$59.99
15,Dyson Fans,https://www.amazon.com/Dyson-Focus-Heater-White-Silver/dp/B00SMLKEPA/ref=sr_1_15?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-15,Dyson (61874-01) Hot + Cool Jet Focus AM09 Fan Heater White/Silver,B00SMLKEPA,
16,Dyson Fans,https://www.amazon.com/Dyson-AM09-Heater-Nickel-Control/dp/B01N3A9N2H/ref=sr_1_16?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-16,Dyson AM09 Hot + Cool Ceramic Fan Heater - Black/Iron,B01N3A9N2H,$559.00
17,Dyson Fans,https://www.amazon.com/Dyson-Wi-Fi-Enabled-Purifier-Silver/dp/B01IBRTN88/ref=sr_1_17?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-17,"Dyson Pure Hot + Cool Link HP02 Wi-Fi Enabled Air Purifier,White/Silver",B01IBRTN88,
18,Dyson Fans,https://www.amazon.com/Dyson-AM09-Pedestal-Heater-combo/dp/B07BNSZ9SP/ref=sr_1_18?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-18,"Dyson AM09 Iron Red, Pedestal Fan and Heater Combo",B07BNSZ9SP,
19,Dyson Fans,https://www.amazon.com/Lasko-1843-Pedestal-Oscillating-Adjustable/dp/B001V8Y64Q/ref=sr_1_19?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-19,"Lasko 1843 18″ Remote Control Cyclone Pedestal Fan with Built-in Timer, Black Features Oscillating Movement and Adjustable Height",B001V8Y64Q,
20,Dyson Fans,https://www.amazon.com/Molekule-Purifier-Purification-Technology-White/dp/B07ZPLXB54/ref=sr_1_20?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-20,"Molekule Air Mini Small Room Air Purifier with PECO Technology for Allergens, Pollutants, Viruses, Bacteria, and Mold, White",B07ZPLXB54,$299.00
