rank,_input,prodLink,name,id,price
1,Dyson Fans,https://www.carrefour.fr/p/bonbons-fan-of-pik-haribo-3103220044797,Bonbons fan of pik HARIBO,3103220044797,"1,70€"
2,Dyson Fans,https://www.carrefour.fr/p/aspirateur-v10-absolute-dyson-5025155034095,Aspirateur V10 Absolute DYSON,5025155034095,"499,00€"
3,Dyson Fans,https://www.carrefour.fr/p/aspirateur-v10-motorhead-dyson-5025155034811,Aspirateur V10 Motorhead DYSON,5025155034811,"449,00€"
4,Dyson Fans,https://www.carrefour.fr/p/aspirateur-balai-v11-torque-drive-extra-dyson-5025155046593,Aspirateur balai V11 Torque Drive Extra DYSON,5025155046593,"599,00€"
5,Dyson Fans,https://www.carrefour.fr/p/aspirateur-balai-v8-parquet-279340-01-gris-dyson-5025155040782,Aspirateur balai V8 Parquet - 279340-01 - Gris DYSON,5025155040782,"309,99€"
6,Dyson Fans,https://www.carrefour.fr/p/aspirateur-balai-v11-absolute-extra-pro-gris-violet-dyson-5025155046821,Aspirateur balai V11 absolute extra pro gris/violet DYSON,5025155046821,"799,00€"
7,Dyson Fans,https://www.carrefour.fr/p/aspirateur-v7-motorhead-origin-5025155028155,DYSON Aspirateur V7 Motorhead Origin,5025155028155,"299,00€"
8,Dyson Fans,https://www.carrefour.fr/p/aspirateur-balai-v8-slim-354482-01-gris-rouge-5025155049259,Aspirateur balai V8 Slim - 354482-01 - Gris/Rouge,5025155049259,"379,00€"
9,Dyson Fans,https://www.carrefour.fr/p/aspirateur-balai-v11-absolute-extra-298884-01-gris-5025155046470,Aspirateur balai V11 absolute extra - 298884-01 - Gris,5025155046470,"649,00€"
10,Dyson Fans,https://www.carrefour.fr/p/box-fan-acdc-8-bieres-56-8cl-8-gobelets-20-serviettes-pot-crayon-3760065142257?s=2017,"Box Fan Acdc 8 Bieres 56,8cl + 8 Gobelets + 20 Serviettes +pot Crayon PLANÈTE DRINKS",3760065142257,"34,90€"
1,Dyson Vaccumm Cleaners,https://www.carrefour.fr/p/nettoyant-chaussures-sneaker-cleaner-kiwi-5000204053838,Nettoyant chaussures sneaker cleaner KIWI,5000204053838,"4,62€"
2,Dyson Vaccumm Cleaners,https://www.carrefour.fr/p/aspirateur-v10-absolute-dyson-5025155034095,Aspirateur V10 Absolute DYSON,5025155034095,"499,00€"
3,Dyson Vaccumm Cleaners,https://www.carrefour.fr/p/aspirateur-v10-motorhead-dyson-5025155034811,Aspirateur V10 Motorhead DYSON,5025155034811,"449,00€"
